"match_id","batting","bowling","winner","dl","target","head_to_head","home_ground_advantage","batting_team_points","bowling_team_points","chase_win_perc","chase_win_perc_bat","defense_win_perc_bowl","first_inng_avg"
1,10,11,0,0,207,0.411764705882353,-1,0,0,0.0357142857142857,0.516129032258065,0.446601941747573,156.589285714286
3,6,3,1,0,183,1,-1,0,0,0.1,0.610526315789474,0.0714285714285714,168.9
4,4,9,1,0,163,0.833333333333333,0,0,2,0.444444444444444,0.511904761904762,0.314285714285714,163.444444444444
7,7,6,1,0,178,0.785714285714286,1,0,2,0.575342465753425,0.6,0.414634146341463,167.876712328767
9,9,2,0,0,205,0.4,1,2,0,0.238095238095238,0.4,0.368421052631579,170.952380952381
10,7,11,1,0,158,0.545454545454545,1,2,4,0.575342465753425,0.6,0.446601941747573,167.876712328767
11,6,4,1,0,170,0.705882352941177,1,2,4,0.584415584415584,0.610526315789474,0.417582417582418,161.623376623377
12,7,10,1,0,142,0.666666666666667,-1,4,0,0.114285714285714,0.6,0.419753086419753,170.114285714286
13,3,9,1,0,171,1,1,0,2,0.3,0.75,0.314285714285714,168.9
14,11,6,0,0,172,0.357142857142857,-1,4,4,0.025974025974026,0.506493506493506,0.414634146341463,161.623376623377
15,4,2,0,0,188,0.818181818181818,-1,4,2,0.0757575757575758,0.511904761904762,0.368421052631579,166.060606060606
16,7,3,1,0,176,1,1,6,2,0.575342465753425,0.6,0.0714285714285714,167.876712328767
17,10,9,0,0,161,0.5,1,0,2,0.471428571428571,0.516129032258065,0.314285714285714,170.114285714286
19,4,11,0,0,159,0.4375,-1,4,4,0.0714285714285714,0.511904761904762,0.446601941747573,156.589285714286
20,3,10,0,0,213,0.5,1,2,0,0.3,0.75,0.419753086419753,168.9
21,2,11,0,0,191,0.615384615384615,-1,4,6,0.0714285714285714,0.494736842105263,0.446601941747573,156.589285714286
23,3,6,1,0,187,1,-1,2,8,0.025974025974026,0.75,0.414634146341463,161.623376623377
24,2,7,0,0,142,0.411764705882353,-1,4,10,0.0410958904109589,0.494736842105263,0.585858585858586,167.876712328767
25,9,11,1,0,176,0.375,1,4,8,0.238095238095238,0.4,0.446601941747573,170.952380952381
27,10,6,0,0,131,0.5625,-1,2,8,0.051948051948052,0.516129032258065,0.414634146341463,161.623376623377
29,6,9,1,0,182,0.8,-1,10,8,0.142857142857143,0.610526315789474,0.314285714285714,170.952380952381
30,3,10,1,0,134,0.5,-1,4,2,0.0142857142857143,0.75,0.419753086419753,170.114285714286
31,6,2,1,0,160,0.7,1,12,4,0.584415584415584,0.610526315789474,0.368421052631579,161.623376623377
32,4,11,0,0,207,0.4375,1,6,8,0.5,0.511904761904762,0.446601941747573,169.714285714286
34,7,3,1,0,153,1,-1,12,6,0.1,0.6,0.0714285714285714,168.9
35,4,2,1,0,67,0.818181818181818,1,6,4,0.5,0.511904761904762,0.368421052631579,169.714285714286
36,6,11,0,0,209,0.666666666666667,-1,14,10,0.0892857142857143,0.610526315789474,0.446601941747573,156.589285714286
37,7,10,1,0,162,0.666666666666667,1,13,2,0.575342465753425,0.6,0.419753086419753,167.876712328767
41,2,3,1,0,208,0.75,1,6,7,0.409090909090909,0.494736842105263,0.0714285714285714,166.060606060606
42,10,4,0,0,138,0.6,1,2,8,0.471428571428571,0.516129032258065,0.417582417582418,170.114285714286
43,11,9,0,0,148,0.5,1,12,14,0.5,0.506493506493506,0.314285714285714,156.589285714286
45,6,10,1,0,158,0.875,-1,14,2,0.1,0.610526315789474,0.419753086419753,170.114285714286
46,3,4,1,0,189,0.5,-1,7,10,0.142857142857143,0.75,0.417582417582418,169.714285714286
47,11,7,1,0,138,0.416666666666667,1,12,17,0.5,0.506493506493506,0.585858585858586,156.589285714286
48,6,4,0,0,167,0.705882352941177,-1,16,10,0.0714285714285714,0.610526315789474,0.417582417582418,169.714285714286
49,2,3,1,0,195,0.75,-1,8,9,0.25,0.494736842105263,0.0714285714285714,161.25
51,9,2,0,0,168,0.4,-1,16,10,0.0303030303030303,0.4,0.368421052631579,166.060606060606
53,6,7,0,0,173,0.272727272727273,1,16,17,0.584415584415584,0.610526315789474,0.585858585858586,161.623376623377
54,9,4,1,0,73,1,1,16,14,0.238095238095238,0.4,0.417582417582418,170.952380952381
55,2,10,0,0,161,0.444444444444444,1,12,2,0.409090909090909,0.494736842105263,0.419753086419753,166.060606060606
56,7,9,0,0,162,0.5,1,19,18,0.575342465753425,0.6,0.314285714285714,167.876712328767
57,6,11,1,1,128,0.666666666666667,0,16,16,0.1,0.610526315789474,0.446601941747573,170.114285714286
58,7,6,1,0,107,0.785714285714286,0,19,18,0.114285714285714,0.6,0.414634146341463,170.114285714286
60,10,6,0,0,222,0.5625,1,0,0,0.471428571428571,0.516129032258065,0.414634146341463,170.114285714286
61,4,1,0,0,240,0.363636363636364,1,0,0,0.514285714285714,0.511904761904762,0.568181818181818,163.285714285714
62,2,8,1,0,129,0.5,1,0,0,0.409090909090909,0.494736842105263,0.432835820895522,166.060606060606
63,10,7,1,0,165,0.333333333333333,-1,0,0,0.0410958904109589,0.516129032258065,0.585858585858586,167.876712328767
64,6,11,1,0,110,0.666666666666667,1,2,0,0.584415584415584,0.610526315789474,0.446601941747573,161.623376623377
66,2,11,1,0,142,0.615384615384615,-1,2,0,0.0714285714285714,0.494736842105263,0.446601941747573,156.589285714286
67,7,1,0,0,208,0.583333333333333,-1,0,2,0.0612244897959184,0.6,0.568181818181818,166.857142857143
68,8,11,1,0,214,0.6875,-1,2,0,0.0357142857142857,0.597402597402597,0.446601941747573,156.589285714286
69,7,4,0,0,182,0.533333333333333,-1,0,0,0.0857142857142857,0.6,0.417582417582418,163.285714285714
70,8,10,1,0,135,0.666666666666667,-1,4,2,0.0571428571428571,0.597402597402597,0.419753086419753,170.114285714286
71,1,6,1,0,147,1,1,4,4,0.693877551020408,0.648648648648649,0.414634146341463,166.857142857143
